#authorList	title	journal	year	volume	pages	pmid	inhouse	hpo	monarch	topic.list
Pinto D, Delaby E, Merico D, Barbosa M, Merikangas A, Klei L, Thiruvahindrapuram B, Xu X, Ziman R, Wang Z, Vorstman JA, Thompson A, Regan R, Pilorge M, Pellecchia G, Pagnamenta AT, Oliveira B, Marshall CR, Magalhaes TR, Lowe JK, Howe JL, Griswold AJ, Gilbert J, Duketis E, Dombroski BA, De Jonge MV, Cuccaro M, Crawford EL, Correia CT, Conroy J, Conceição IC, Chiocchetti AG, Casey JP, Cai G, Cabrol C, Bolshakova N, Bacchelli E, Anney R, Gallinger S, Cotterchio M, Casey G, Zwaigenbaum L, Wittemeyer K, Wing K, Wallace S, van Engeland H, Tryfon A, Thomson S, Soorya L, Rogé B, Roberts W, Poustka F, Mouga S, Minshew N, McInnes LA, McGrew SG, Lord C, Leboyer M, Le Couteur AS, Kolevzon A, Jiménez González P, Jacob S, Holt R, Guter S, Green J, Green A, Gillberg C, Fernandez BA, Duque F, Delorme R, Dawson G, Chaste P, Café C, Brennan S, Bourgeron T, Bolton PF, Bölte S, Bernier R, Baird G, Bailey AJ, Anagnostou E, Almeida J, Wijsman EM, Vieland VJ, Vicente AM, Schellenberg GD, Pericak-Vance M, Paterson AD, Parr JR, Oliveira G, Nurnberger JI, Monaco AP, Maestrini E, Klauck SM, Hakonarson H, Haines JL, Geschwind DH, Freitag CM, Folstein SE, Ennis S, Coon H, Battaglia A, Szatmari P, Sutcliffe JS, Hallmayer J, Gill M, Cook EH, Buxbaum JD, Devlin B, Gallagher L, Betancur C, Scherer SW	Convergence of genes and cellular pathways dysregulated in autism spectrum disorders	Am J Hum Genet	2014	94(5)	677-94	24768552	F	T	F	clinical.use
Gan M	Correlating information contents of gene ontology terms to infer semantic similarity of gene products	Comput Math Methods Med	2014	2014	891842	24963342	F	T	F	systems.bio.algorithm
Li X, Zhou X, Peng Y, Liu B, Zhang R, Hu J, Yu J, Jia C, Sun C	Network based integrated analysis of phenotype-genotype data for prioritization of candidate symptom genes	Biomed Res Int	2014	2014	435853	24991551	F	T	F	systems.bio.algorithm
Masino AJ, Dechene ET, Dulik MC, Wilkens A, Spinner NB, Krantz ID, Pennington JW, Robinson PN, White PS	Clinical phenotype-based gene prioritization: an initial study using semantic similarity and the human phenotype ontology	BMC Bioinformatics	2014	15	248	25047600	T	T	T	cross.species
Honti F, Meader S, Webber C	Unbiased functional clustering of gene variants with a phenotypic-linkage network	PLoS Comput Biol	2014	10(8)	e1003815	25166029	F	T	F	systems.bio.algorithm
Zemojtel T, Köhler S, Mackenroth L, Jäger M, Hecht J, Krawitz P, Graul-Neumann L, Doelken S, Ehmke N, Spielmann M, Oien NC, Schweiger MR, Krüger U, Frommer G, Fischer B, Kornak U, Flöttmann R, Ardeshirdavani A, Moreau Y, Lewis SE, Haendel M, Smedley D, Horn D, Mundlos S, Robinson PN	Effective diagnosis of genetic disease by computational phenotype analysis of the disease-associated genome	Sci Transl Med	2014	6(252)	252ra123	25186178	T	T	F	phenogeno.algorithm
Goldfarb D, Hast BE, Wang W, Major MB	Spotlite: web application and augmented algorithms for predicting co-complexed proteins from affinity purification--mass spectrometry data	J Proteome Res	2014	13(12)	5944-55	25300367	F	T	F	systems.bio.algorithm	
Picker-Minh S, Busche A, Hartmann B, Spors B, Klopocki E, Hübner C, Horn D, Kaindl AM	Large homozygous RAB3GAP1 gene microdeletion causes Warburg micro syndrome 1	Orphanet J Rare Dis	2014	9	113	25332050	F	T	F	clinical.use
Krawitz PM, Schiska D, Krüger U, Appelt S, Heinrich V, Parkhomchuk D, Timmermann B, Millan JM, Robinson PN, Mundlos S, Hecht J, Gross M	Screening for single nucleotide variants, small indels and exon deletions with a next-generation sequencing based gene panel approach for Usher syndrome	Mol Genet Genomic Med	2014	2(5)	393-401	25333064	T	T	F	clinical.use
Luo Y, Riedlinger G, Szolovits P	Text mining in cancer gene and pathway prioritization	Cancer Inform	2014	13(Suppl 1)	69-79	25392685	F	T	F	resource
Rodríguez-López R, Reyes-Palomares A, Sánchez-Jiménez F, Medina MÁ	PhenUMA: a tool for integrating the biomedical relationships among genes and diseases	BMC Bioinformatics	2014	15	375	25420641	F	T	F	resource
Ehmke N, Caliebe A, Koenig R, Kant SG, Stark Z, Cormier-Daire V, Wieczorek D, Gillessen-Kaesbach G, Hoff K, Kawalia A, Thiele H, Altmüller J, Fischer-Zirnsak B, Knaus A, Zhu N, Heinrich V, Huber C, Harabula I, Spielmann M, Horn D, Kornak U, Hecht J, Krawitz PM, Nürnberg P, Siebert R, Manzke H, Mundlos S	Homozygous and compound-heterozygous mutations in TGDS cause Catel-Manzke syndrome	Am J Hum Genet	2014	95(6)	763-70	25480037	F	T	F	clinical.use
Deans AR, Lewis SE, Huala E, Anzaldo SS, Ashburner M, Balhoff JP, Blackburn DC, Blake JA, Burleigh JG, Chanet B, Cooper LD, Courtot M, Csösz S, Cui H, Dahdul W, Das S, Dececchi TA, Dettai A, Diogo R, Druzinsky RE, Dumontier M, Franz NM, Friedrich F, Gkoutos GV, Haendel M, Harmon LJ, Hayamizu TF, He Y, Hines HM, Ibrahim N, Jackson LM, Jaiswal P, James-Zorn C, Köhler S, Lecointre G, Lapp H, Lawrence CJ, Le Novère N, Lundberg JG, Macklin J, Mast AR, Midford PE, Mikó I, Mungall CJ, Oellrich A, Osumi-Sutherland D, Parkinson H, Ramírez MJ, Richter S, Robinson PN, Ruttenberg A, Schulz KS, Segerdell E, Seltmann KC, Sharkey MJ, Smith AD, Smith B, Specht CD, Squires RB, Thacker RW, Thessen A, Fernandez-Triana J, Vihinen M, Vize PD, Vogt L, Wall CE, Walls RL, Westerfeld M, Wharton RA, Wirkner CS, Woolley JB, Yoder MJ, Zorn AM, Mabee P	Finding our way through phenotypes	PLoS Biol	2015	13(1)	e1002033	25562316	T	T	F	review
Hu H, Matter ML, Issa-Jahns L, Jijiwa M, Kraemer N, Musante L, de la Vega M, Ninnemann O, Schindler D, Damatova N, Eirich K, Sifringer M, Schrötter S, Eickholt BJ, van den Heuvel L, Casamina C, Stoltenburg-Didinger G, Ropers HH, Wienker TF, Hübner C, Kaindl AM	Mutations in PTRH2 cause novel infantile-onset multisystem disease with intellectual disability, microcephaly, progressive ataxia, and muscle weakness	Ann Clin Transl Neurol	2014	1(12)	1024-35	25574476	F	T	F	clinical.use
Shi Q, Gao K, Zhao H, Wang J, Zhai X, Lu P, Chen J, Wang W	Phenomics research on coronary heart disease based on human phenotype ontology	Biomed Res Int	2014	2014	240284	25610858	F	T	F	clinical.use
Hoehndorf R, Slater L, Schofield PN, Gkoutos GV	Aber-OWL: a framework for ontology-based data access in biology	BMC Bioinformatics	2015	16	26	25627673	F	T	F	resource
Soul J, Hardingham TE, Boot-Handford RP, Schwartz JM	PhenomeExpress: a refined network analysis of expression datasets by inclusion of known disease phenotypes	Sci Rep	2015	5	8117	25631385	F	T	F	systems.bio.algorithm
Deo RC, Musso G, Tasan M, Tang P, Poon A, Yuan C, Felix JF, Vasan RS, Beroukhim R, De Marco T, Kwok PY, MacRae CA, Roth FP	Prioritizing causal disease genes using unbiased genomic features	Genome Biol	2014	15(12)	534	25633252	F	T	F	phenogeno.algorithm;systems.bio.algorithm
King DA, Jones WD, Crow YJ, Dominiczak AF, Foster NA, Gaunt TR, Harris J, Hellens SW, Homfray T, Innes J, Jones EA, Joss S, Kulkarni A, Mansour S, Morris AD, Parker MJ, Porteous DJ, Shihab HA, Smith BH, Tatton-Brown K, Tolmie JL, Trzaskowski M, Vasudevan PC, Wakeling E, Wright M, Plomin R, Timpson NJ, Hurles ME; Deciphering Developmental Disorders Study	Mosaic structural variation in children with developmental disorders	Hum Mol Genet	2015	24(10)	2733-45	25634561	F	T	F	clinical.use
Deng Y, Gao L, Wang B, Guo X	HPOSim: an R package for phenotypic similarity measure and enrichment analysis based on the human phenotype ontology	PLoS One	2015	10(2)	e0115692	25664462	F	T	F	resource
Chen Q, Zhou XJ, Sun F	Finding genetic overlaps among diseases based on ranked gene lists	J Comput Biol	2015	22(2)	111-23	25684200	F	T	F	systems.bio.algorithm
Hoehndorf R, Gruenberger M, Gkoutos GV, Schofield PN	Similarity-based search of model organism, disease and drug effect phenotypes	J Biomed Semantics	2015	6	6	25763178	F	T	F	systems.bio.algorithm;cross.species
Andrews T, Meader S, Vulto-van Silfhout A, Taylor A, Steinberg J, Hehir-Kwa J, Pfundt R, de Leeuw N, de Vries BB, Webber C	Gene networks underlying convergent and pleiotropic phenotypes in a large and systematically-phenotyped cohort with heterogeneous developmental disorders	PLoS Genet	2015	11(3)	e1005012	25781962	F	T	F	systems.bio.algorithm
Boland MR, Tatonetti NP, Hripcsak G	Development and validation of a classification approach for extracting severity automatically from electronic health records	J Biomed Semantics	2015	6	14	25848530	F	T	F	resource
Andrews T, Honti F, Pfundt R, de Leeuw N, Hehir-Kwa J, Vulto-van Silfhout A, de Vries B, Webber C	The clustering of functionally related genes contributes to CNV-mediated disease	Genome Res	2015	25(6)	802-13	25887030	F	T	F	systems.bio.algorithm
Groza T, Tudorache T, Robinson PN, Zankl A	Capturing domain knowledge from multiple sources: the rare bone disorders use case	J Biomed Semantics	2015	6	21	25926964	T	T	F	resource
Westbury SK, Turro E, Greene D, Lentaigne C, Kelly AM, Bariana TK, Simeoni I, Pillois X, Attwood A, Austin S, Jansen SB, Bakchoul T, Crisp-Hihn A, Erber WN, Favier R, Foad N, Gattens M, Jolley JD, Liesner R, Meacham S, Millar CM, Nurden AT, Peerlinck K, Perry DJ, Poudel P, Schulman S, Schulze H, Stephens JC, Furie B, Robinson PN, van Geet C, Rendon A, Gomez K, Laffan MA, Lambert MP, Nurden P, Ouwehand WH, Richardson S, Mumford AD, Freson K; BRIDGE-BPD Consortium	Human phenotype ontology annotation and cluster analysis to unravel genetic defects in 707 cases with unexplained bleeding and platelet disorders	Genome Med	2015	7(1)	36	25949529	T	T	F	clinical.use
Collier N, Oellrich A, Groza T	Concept selection for phenotypes and diseases using learn to rank	J Biomed Semantics	2015	6	24	26034558	F	T	F	resource
Hoehndorf R, Schofield PN, Gkoutos GV	Analysis of the human diseasome using phenotype similarity between common, genetic, and infectious diseases	Sci Rep	2015	5	10888	26051359	F	T	F	systems.bio.algorithm
Probst FJ, James RA, Burrage LC, Rosenfeld JA, Bohan TP, Ward Melver CH, Magoulas P, Austin E, Franklin AI, Azamian M, Xia F, Patel A, Bi W, Bacino C, Belmont JW, Ware SM, Shaw C, Cheung SW, Lalani SR	De novo deletions and duplications of 17q25	3 cause susceptibility to cardiovascular malformations	2015	10	75	26070612	F	T	F	clinical.use
Chen Y, Li L, Zhang GQ, Xu R	Phenome-driven disease genetics prediction toward drug discovery	Bioinformatics	2015	31(12)	i276-83	26072493	F	T	F	systems.bio.algorithm
Groza T, Köhler S, Moldenhauer D, Vasilevsky N, Baynam G, Zemojtel T, Schriml LM, Kibbe WA, Schofield PN, Beck T, Vasant D, Brookes AJ, Zankl A, Washington NL, Mungall CJ, Lewis SE, Haendel MA, Parkinson H, Robinson PN	The Human Phenotype Ontology: Semantic Unification of Common and Rare Disease	Am J Hum Genet	2015	97(1)	111-24	26119816	T	T	F	resource;systems.bio.algorithm
Xu R, Wang Q	PhenoPredict: A disease phenome-wide drug repositioning approach towards schizophrenia drug discovery	J Biomed Inform	2015	56	348-55	26151312	F	T	F	systems.bio.algorithm
Moni MA, Liò P	How to build personalized multi-omics comorbidity profiles	Front Cell Dev Biol	2015	3	28	26157799	F	T	F	review
Kirkpatrick BE, Riggs ER, Azzariti DR, Miller VR, Ledbetter DH, Miller DT, Rehm H, Martin CL, Faucett WA; ClinGen Resource	GenomeConnect: matchmaking between patients, clinical laboratories, and researchers to improve genomic knowledge	Hum Mutat	2015	36(10)	974-8	26178529	F	T	F	resource
Mungall CJ, Washington NL, Nguyen-Xuan J, Condit C, Smedley D, Köhler S, Groza T, Shefchek K, Hochheiser H, Robinson PN, Lewis SE, Haendel MA	Use of model organism and disease databases to support matchmaking for human disease gene discovery	Hum Mutat	2015	36(10)	979-84	26269093	T	T	T	cross.species;review
Sawyer SL, Hartley T, Dyment DA, Beaulieu CL, Schwartzentruber J, Smith A, Bedford HM, Bernard G, Bernier FP, Brais B, Bulman DE, Warman Chardon J, Chitayat D, Deladoëy J, Fernandez BA, Frosk P, Geraghty MT, Gerull B, Gibson W, Gow RM, Graham GE, Green JS, Heon E, Horvath G, Innes AM, Jabado N, Kim RH, Koenekoop RK, Khan A, Lehmann OJ, Mendoza-Londono R, Michaud JL, Nikkel SM, Penney LS, Polychronakos C, Richer J, Rouleau GA, Samuels ME, Siu VM, Suchowersky O, Tarnopolsky MA, Yoon G, Zahir FR; FORGE Canada Consortium; Care4Rare Canada Consortium, Majewski J, Boycott KM	Utility of whole-exome sequencing for those near the end of the diagnostic odyssey: time to address gaps in care	Clin Genet	2016	89(3)	275-84	26283276	F	T	F	clinical.use
de Leeuw N, Dijkhuizen T, Hehir-Kwa JY, Carter NP, Feuk L, Firth HV, Kuhn RM, Ledbetter DH, Martin CL, van Ravenswaaij-Arts CM, Scherer SW, Shams S, Van Vooren S, Sijmons R, Swertz M, Hastings R	Diagnostic interpretation of array data using public databases and internet sources	Hum Mutat	2012	33(6)	930-40	26285306	F	T	F	phenogeno.algorithm
Spjuth O, Krestyaninova M, Hastings J, Shen HY, Heikkinen J, Waldenberger M, Langhammer A, Ladenvall C, Esko T, Persson MÅ, Heggland J, Dietrich J, Ose S, Gieger C, Ried JS, Peters A, Fortier I, de Geus EJ, Klovins J, Zaharenko L, Willemsen G, Hottenga JJ, Litton JE, Karvanen J, Boomsma DI, Groop L, Rung J, Palmgren J, Pedersen NL, McCarthy MI, van Duijn CM, Hveem K, Metspalu A, Ripatti S, Prokopenko I, Harris JR	Harmonising and linking biomedical and clinical data across disparate data archives to enable integrative cross-biobank research	Eur J Hum Genet	2016	24(4)	521-8	26306643	F	T	F	resource
Yang J, Wu SJ, Dai WT, Li YX, Li YY	The human disease network in terms of dysfunctional regulatory mechanisms	Biol Direct	2015	10	60	26450611	F	T	F	systems.bio.algorithm
Merico D, Roifman M, Braunschweig U, Yuen RK, Alexandrova R, Bates A, Reid B, Nalpathamkalam T, Wang Z, Thiruvahindrapuram B, Gray P, Kakakios A, Peake J, Hogarth S, Manson D, Buncic R, Pereira SL, Herbrick JA, Blencowe BJ, Roifman CM, Scherer SW	Compound heterozygous mutations in the noncoding RNU4ATAC cause Roifman Syndrome by disrupting minor intron splicing	Nat Commun	2015	6	8718	26522830	F	T	F	clinical.use
Smedley D, Jacobsen JO, Jäger M, Köhler S, Holtgrewe M, Schubach M, Siragusa E, Zemojtel T, Buske OJ, Washington NL, Bone WP, Haendel MA, Robinson PN	Next-generation diagnostics and disease-gene discovery with the Exomiser	Nat Protoc	2015	10(12)	2004-15	26562621	T	T	T	phenogeno.algorithm;cross.species
Racimo F	Testing for Ancient Selection Using Cross-population Allele Frequency Differentiation	Genetics	2016	202(2)	733-50	26596347	F	T	T	systems.bio.algorithm
Lautenschläger R, Kohlmayer F, Prasser F, Kuhn KA	A generic solution for web-based management of pseudonymized data	BMC Med Inform Decis Mak	2015	15	100	26621059	F	T	F	resource
Caniza H, Romero AE, Paccanaro A	A network medicine approach to quantify distance between hereditary disease modules on the interactome	Sci Rep	2015	5	17658	26631976	F	T	F	systems.bio.algorithm
Oberkampf H, Zillner S, Overton JA, Bauer B, Cavallaro A, Uder M, Hammon M	Semantic representation of reported measurements in radiology	BMC Med Inform Decis Mak	2016	16	5	26801764	F	T	F	resource
James RA, Campbell IM, Chen ES, Boone PM, Rao MA, Bainbridge MN, Lupski JR, Yang Y, Eng CM, Posey JE, Shaw CA	A visual and curatorial approach to clinical variant prioritization and disease gene discovery in genome-wide diagnostics	Genome Med	2016	8(1)	13	26838676	F	T	F	phenogeno.algorithm
Vihinen M, Hancock JM, Maglott DR, Landrum MJ, Schaafsma GC, Taschner P	Human Variome Project Quality Assessment Criteria for Variation Databases	Hum Mutat	2016	37(6)	549-58	26919176	F	T	F	resource
Knierim E, Hirata H, Wolf NI, Morales-Gonzalez S, Schottmann G, Tanaka Y, Rudnik-Schöneborn S, Orgeur M, Zerres K, Vogt S, van Riesen A, Gill E, Seifert F, Zwirner A, Kirschner J, Goebel HH, Hübner C, Stricker S, Meierhofer D, Stenzel W, Schuelke M	Mutations in Subunits of the Activating Signal Cointegrator 1 Complex Are Associated with Prenatal Spinal Muscular Atrophy and Congenital Bone Fractures	Am J Hum Genet	2016	98(3)	473-489	26924529	F	T	F	clinical.use
Turro E, Greene D, Wijgaerts A, Thys C, Lentaigne C, Bariana TK, Westbury SK, Kelly AM, Selleslag D, Stephens JC, Papadia S, Simeoni I, Penkett CJ, Ashford S, Attwood A, Austin S, Bakchoul T, Collins P, Deevi SV, Favier R, Kostadima M, Lambert MP, Mathias M, Millar CM, Peerlinck K, Perry DJ, Schulman S, Whitehorn D, Wittevrongel C; BRIDGE-BPD Consortium, De Maeyer M, Rendon A, Gomez K, Erber WN, Mumford AD, Nurden P, Stirrups K, Bradley JR, Raymond FL, Laffan MA, Van Geet C, Richardson S, Freson K, Ouwehand WH	A dominant gain-of-function mutation in universal tyrosine kinase SRC causes thrombocytopenia, myelofibrosis, bleeding, and bone pathologies	Sci Transl Med	2016	8(328)	328ra30	26936507	F	T	F	clinical.use
Chen Y, Cai X, Xu R	Combining Human Disease Genetics and Mouse Model Phenotypes towards Drug Repositioning for Parkinson's disease	AMIA Annu Symp Proc	2015	2015	1851-60	26958284	F	T	F	systems.bio.algorithm;cross.species
Hall JL, Ryan JJ, Bray BE, Brown C, Lanfear D, Newby LK, Relling MV, Risch NJ, Roden DM, Shaw SY, Tcheng JE, Tenenbaum J, Wang TN, Weintraub WS; American Heart Association Professional and Public Education and Publications Committee of the Council on Functional Genomics and Translational Biology; Council on Clinical Cardiology; Council on Epidemiology and Prevention; Council on Quality of Care and Outcomes Research, and Stroke Council	Merging Electronic Health Record Data and Genomics for Cardiovascular Research: A Science Advisory From the American Heart Association	Circ Cardiovasc Genet	2016	9(2)	193-202	26976545	F	T	F	review
Reyes-Palomares A, Bueno A, Rodríguez-López R, Medina MÁ, Sánchez-Jiménez F, Corpas M, Ranea JA	Systematic identification of phenotypically enriched loci using a patient network of genomic disorders	BMC Genomics	2016	17	232	26980139	F	T	F	systems.bio.algorithm
Sarntivijai S, Zhang S, Jagannathan DG, Zaman S, Burkhart KK, Omenn GS, He Y, Athey BD, Abernethy DR	Linking MedDRA(®)-Coded Clinical Phenotypes to Biological Mechanisms by the Ontology of Adverse Events: A Pilot Study on Tyrosine Kinase Inhibitors	Drug Saf	2016	39(7)	697-707	27003817	F	T	F	resource
Bowdin S, Gilbert A, Bedoukian E, Carew C, Adam MP, Belmont J, Bernhardt B, Biesecker L, Bjornsson HT, Blitzer M, D'Alessandro LC, Deardorff MA, Demmer L, Elliott A, Feldman GL, Glass IA, Herman G, Hindorff L, Hisama F, Hudgins L, Innes AM, Jackson L, Jarvik G, Kim R, Korf B, Ledbetter DH, Li M, Liston E, Marshall C, Medne L, Meyn MS, Monfared N, Morton C, Mulvihill JJ, Plon SE, Rehm H, Roberts A, Shuman C, Spinner NB, Stavropoulos DJ, Valverde K, Waggoner DJ, Wilkens A, Cohn RD, Krantz ID	Recommendations for the integration of genomics into clinical practice	Genet Med	2016	18(11)	1075-1084	27171546	F	T	F	review
Yang J, Wu SJ, Yang SY, Peng JW, Wang SN, Wang FY, Song YX, Qi T, Li YX, Li YY	DNetDB: The human disease network database based on dysfunctional regulation mechanism	BMC Syst Biol	2016	10(1)	36	27209279	F	T	F	resource
Mazza A, Klockmeier K, Wanker E, Sharan R	An integer programming framework for inferring disease complexes from network data	Bioinformatics	2016	32(12)	i271-i277	27307626	F	T	F	systems.bio.algorithm
Li J, Lin X, Teng Y, Qi S, Xiao D, Zhang J, Kang Y	A Comprehensive Evaluation of Disease Phenotype Networks for Gene Prioritization	PLoS One	2016	11(7)	e0159457	27415759	F	T	F	systems.bio.algorithm
Ramadan E, Alinsaif S, Hassan MR	Network topology measures for identifying disease-gene association in breast cancer	BMC Bioinformatics	2016	17 Suppl 7	274	27454166	F	T	F	systems.bio.algorithm
Sifrim A, Hitz MP, Wilsdon A, Breckpot J, Turki SH, Thienpont B, McRae J, Fitzgerald TW, Singh T, Swaminathan GJ, Prigmore E, Rajan D, Abdul-Khaliq H, Banka S, Bauer UM, Bentham J, Berger F, Bhattacharya S, Bu'Lock F, Canham N, Colgiu IG, Cosgrove C, Cox H, Daehnert I, Daly A, Danesh J, Fryer A, Gewillig M, Hobson E, Hoff K, Homfray T; INTERVAL Study, Kahlert AK, Ketley A, Kramer HH, Lachlan K, Lampe AK, Louw JJ, Manickara AK, Manase D, McCarthy KP, Metcalfe K, Moore C, Newbury-Ecob R, Omer SO, Ouwehand WH, Park SM, Parker MJ, Pickardt T, Pollard MO, Robert L, Roberts DJ, Sambrook J, Setchfield K, Stiller B, Thornborough C, Toka O, Watkins H, Williams D, Wright M, Mital S, Daubeney PE, Keavney B, Goodship J; UK10K Consortium, Abu-Sulaiman RM, Klaassen S, Wright CF, Firth HV, Barrett JC, Devriendt K, FitzPatrick DR, Brook JD; Deciphering Developmental Disorders Study, Hurles ME	Distinct genetic architectures for syndromic and nonsyndromic congenital heart defects identified by exome sequencing	Nat Genet	2016	48(9)	1060-5	27479907	F	T	F	clinical.use
Landis BJ, Ware SM	The Current Landscape of Genetic Testing in Cardiovascular Malformations: Opportunities and Challenges	Front Cardiovasc Med	2016	3	22	27504451	F	T	F	review
Chen Y, Gao Z, Wang B, Xu R	Towards precision medicine-based therapies for glioblastoma: interrogating human disease genomics and mouse phenotypes	BMC Genomics	2016	17 Suppl 7	516	27557118	F	T	F	cross.species;review
Du C, Pusey BN, Adams CJ, Lau CC, Bone WP, Gahl WA, Markello TC, Adams DR	Explorations to improve the completeness of exome sequencing	BMC Med Genomics	2016	9(1)	56	27568008	F	T	F	review
Chen Y, Xu R	Phenome-based gene discovery provides information about Parkinson's disease drug targets	BMC Genomics	2016	17 Suppl 5	493	27586503	F	T	F	review
Funk CS, Cohen KB, Hunter LE, Verspoor KM	Gene Ontology synonym generation rules lead to increased performance in biomedical concept recognition	J Biomed Semantics	2016	7	52	27613112	F	T	F	resource
Prinz J, Vogt I, Adornetto G, Campillos M	A Novel Drug-Mouse Phenotypic Similarity Method Detects Molecular Determinants of Drug Effects	PLoS Comput Biol	2016	12(9)	e1005111	27673331	F	T	F	cross.species
Ren J, Zhang MJ, Li TM, Zhang JE, Lin R, Chen S, Luo M, Dong MQ	Quantitative Proteomics of Sleep-Deprived Mouse Brains Reveals Global Changes in Mitochondrial Proteins	PLoS One	2016	11(9)	e0163500	27684481	F	T	F	cross.species
Chen Y, Xu R	Drug repurposing for glioblastoma based on molecular subtypes	J Biomed Inform	2016	64	131-138	27697594	F	T	F	systems.bio.algorithm
Cheng L, Sun J, Xu W, Dong L, Hu Y, Zhou M	OAHG: an integrated resource for annotating human genes with multi-level ontologies	Sci Rep	2016	6	34820	27703231	F	T	F	resource
Roldán-García MD, García-Godoy MJ, Aldana-Montes JF	Dione: An OWL representation of ICD-10-CM for classifying patients' diseases	J Biomed Semantics	2016	7(1)	62	27737720	F	T	F	resource
Barros M, Couto FM	Knowledge Representation and Management: a Linked Data Perspective	Yearb Med Inform	2016	(1)	178-183	27830248	F	T	F	resource
Posey JE, Harel T, Liu P, Rosenfeld JA, James RA, Coban Akdemir ZH, Walkiewicz M, Bi W, Xiao R, Ding Y, Xia F, Beaudet AL, Muzny DM, Gibbs RA, Boerwinkle E, Eng CM, Sutton VR, Shaw CA, Plon SE, Yang Y, Lupski JR	Resolution of Disease Phenotypes Resulting from Multilocus Genomic Variation	N Engl J Med	2017	376(1)	21-31	27959697	F	T	F	clinical.use
Chen Y, Xu R	Context-sensitive network-based disease genetics prediction and its implications in drug discovery	Bioinformatics	2017	33(7)	1031-1039	28062449	F	T	F	systems.bio.algorithm
Demelo J, Parsons P, Sedig K	Ontology-Driven Search and Triage: Design of a Web-Based Visual Interface for MEDLINE	JMIR Med Inform	2017	5(1)	e4	28153818	F	T	F	resource
Granata I, Sangiovanni M, Maiorano F, Miele M, Guarracino MR	Var2GO: a web-based tool for gene variants selection	BMC Bioinformatics	2016	17(Suppl 12)	376	28185576	F	T	F	resource
Fang H, Wu Y, Yang H, Yoon M, Jiménez-Barrón LT, Mittelman D, Robison R, Wang K, Lyon GJ	Whole genome sequencing of one complex pedigree illustrates challenges with genomic medicine	BMC Med Genomics	2017	10(1)	10	28228131	F	T	F	clinical.use
Kunwar F, Tewari S, Bakshi SR	Apert syndrome with S252W FGFR2 mutation and characterization using Phenomizer: An Indian case report	J Oral Biol Craniofac Res	2017	7(1)	67-71	28316926	F	T	F	clinical.use
Gkoutos GV, Schofield PN, Hoehndorf R	The anatomy of phenotype ontologies: principles, properties and applications	Brief Bioinform	2018	19(5)	1008-1021	28387809	F	T	F	review
Wang T, Tang H	The physical characteristics of human proteins in different biological functions	PLoS One	2017	12(5)	e0176234	28459865	F	T	F	systems.bio.algorithm
Boycott KM, Rath A, Chong JX, Hartley T, Alkuraya FS, Baynam G, Brookes AJ, Brudno M, Carracedo A, den Dunnen JT, Dyke SOM, Estivill X, Goldblatt J, Gonthier C, Groft SC, Gut I, Hamosh A, Hieter P, Höhn S, Hurles ME, Kaufmann P, Knoppers BM, Krischer JP, Macek M Jr, Matthijs G, Olry A, Parker S, Paschall J, Philippakis AA, Rehm HL, Robinson PN, Sham PC, Stefanov R, Taruscio D, Unni D, Vanstone MR, Zhang F, Brunner H, Bamshad MJ, Lochmüller H	International Cooperation to Enable the Diagnosis of All Rare Genetic Diseases	Am J Hum Genet	2017	100(5)	695-705	28475856	T	T	F	review
Wu M, Chen T, Jiang R	Leveraging multiple genomic data to prioritize disease-causing indels from exome sequencing data	Sci Rep	2017	7(1)	1804	28496131	F	T	F	phenogeno.algorithm
Zwierzyna M, Overington JP	Classification and analysis of a large collection of in vivo bioassay descriptions	PLoS Comput Biol	2017	13(7)	e1005641	28678787	F	T	F	resource
Kothari C, Wack M, Hassen-Khodja C, Finan S, Savova G, O'Boyle M, Bliss G, Cornell A, Horn EJ, Davis R, Jacobs J, Kohane I, Avillach P	Phelan-McDermid syndrome data network: Integrating patient reported outcomes with clinical notes and curated genetic reports	Am J Med Genet B Neuropsychiatr Genet	2018	177(7)	613-624	28862395	F	T	F	clinical.use;resource
Gan M, Li W, Zeng W, Wang X, Jiang R	Mimvec: a deep learning approach for analyzing the human phenome	BMC Syst Biol	2017	11(Suppl 4)	76	28950906	F	T	F	clinical.use;systems.bio.algorithm
Bellgard MI, Chartres N, Watts GF, Wilton S, Fletcher S, Hunter A, Snelling T	Comprehending the Health Informatics Spectrum: Grappling with System Entropy and Advancing Quality Clinical Research	Front Public Health	2017	5	224	28959687	F	T	F	resource
Taboada M, Rodriguez H, Gudivada RC, Martinez D	A new synonym-substitution method to enrich the human phenotype ontology	BMC Bioinformatics	2017	18(1)	446	29017443	F	T	F	resource
Notaro M, Schubach M, Robinson PN, Valentini G	Prediction of Human Phenotype Ontology terms by means of hierarchical ensemble methods	BMC Bioinformatics	2017	18(1)	449	29025394	T	T	F	systems.bio.algorithm
Jia J, An Z, Ming Y, Guo Y, Li W, Liang Y, Guo D, Li X, Tai J, Chen G, Jin Y, Liu Z, Ni X, Shi T	eRAM: encyclopedia of rare disease annotations for precision medicine	Nucleic Acids Res	2018	46(D1)	D937-D943	29106618	F	T	F	resource
